prefecture,name,url
東京都,銀座・有楽町・新橋・丸の内・日本橋,https://beauty.hotpepper.jp/svcSA/macAF/salon/
東京都,御茶ノ水・四ツ谷・千駄木・茗荷谷,https://beauty.hotpepper.jp/svcSA/macJA/salon/
北海道,札幌,https://beauty.hotpepper.jp/svcSD/macDA/salon/
東京都,中野・高円寺・阿佐ヶ谷,https://beauty.hotpepper.jp/svcSA/macAI/salon/
三重県,桑名・四日市・津・鈴鹿・伊勢,https://beauty.hotpepper.jp/svcSC/macCG/salon/
東京都,代官山・中目黒・自由が丘・武蔵小杉・学大,https://beauty.hotpepper.jp/svcSA/macAE/salon/
東京都,品川・目黒・五反田・田町,https://beauty.hotpepper.jp/svcSA/macAH/salon/
群馬県,前橋・高崎・伊勢崎・太田・群馬,https://beauty.hotpepper.jp/svcSA/macJN/salon/
東京都,両国・錦糸町・小岩・森下・瑞江,https://beauty.hotpepper.jp/svcSA/macJC/salon/
東京都,渋谷すべて,https://beauty.hotpepper.jp/svcSA/macAD/salon/
茨城県,取手・土浦・つくば・鹿嶋,https://beauty.hotpepper.jp/svcSA/macJI/salon/
大阪府,梅田・京橋・福島・本町,https://beauty.hotpepper.jp/svcSB/macBA/salon/
愛知県,日進・豊田・刈谷・岡崎・安城・豊橋,https://beauty.hotpepper.jp/svcSC/macCJ/salon/
石川県,石川・金沢すべて,https://beauty.hotpepper.jp/svcSH/macHC/salon/
千葉県,八千代・佐倉・鎌ヶ谷・成田,https://beauty.hotpepper.jp/svcSA/macJH/salon/
東京都,新宿・高田馬場・代々木,https://beauty.hotpepper.jp/svcSA/macAA/salon/
埼玉県,大山・成増・志木・川越・東松山,https://beauty.hotpepper.jp/svcSA/macAU/salon/
香川県,高松・香川,https://beauty.hotpepper.jp/svcSI/macIA/salon/
新潟県,長岡,https://beauty.hotpepper.jp/svcSH/macHB/salon/
福井県,福井,https://beauty.hotpepper.jp/svcSH/macHG/salon/
愛知県,名古屋港・高畑・鳴海・大府・豊明・知多・半田,https://beauty.hotpepper.jp/svcSC/macCI/salon/
東京都,鷺ノ宮・田無・東村山・拝島,https://beauty.hotpepper.jp/svcSA/macAV/salon/
福岡県,福岡,https://beauty.hotpepper.jp/svcSG/macGA/salon/
宮崎県,宮崎,https://beauty.hotpepper.jp/svcSG/macGF/salon/
長野県,松本,https://beauty.hotpepper.jp/svcSH/macHH/salon/
富山県,富山,https://beauty.hotpepper.jp/svcSH/macHF/salon/
静岡県,その他静岡県,https://beauty.hotpepper.jp/svcSC/macCK/salon/
京都府,京都,https://beauty.hotpepper.jp/svcSB/macBF/salon/
